All Dates and Details Purchases by Product/Service,,,,,,,,,,,,
"Norris Utilities, LLC",,,,,,,,,,,,
All Dates,,,,,,,,,,,,

,Transaction date,Transaction type,Num,Vendor,Memo/Description,Quantity,Rate,Amount,Balance,SKU,Full name,Product/Service full name
,11/30/2023,Expense,,,CLARK OIL CO STORE 50,,,5.65,"-12,505,440.92",,Vehicle Expense - Fuel,
,11/30/2023,Expense,,,EL NORTE MEXICAN RESTAURA,,,13.24,"-12,505,427.68",,Meals,
,11/30/2023,Expense,,Love's Country Stores,LOVE'S #0227 OUTSIDE,,,59.77,"-12,505,367.91",,Vehicle Expense - Fuel,
,11/30/2023,Expense,,Outback,OUTBACK 2516,,,40.64,"-12,505,327.27",,Meals,
,12/01/2023,Payment,,,,,,"-2,142.35","-12,507,469.62",,Accounts Receivable (A/R),
,12/01/2023,Deposit,,,Paid via QuickBooks Payments: Payment ID 585028,,,"-2,142.35","-12,509,611.97",,Payments to deposit,
,12/01/2023,Expense,,QuickBooks Payments,"System-recorded fee for QuickBooks Payments. Fee-name: DiscountRateFee, fee-type: Daily.",,,64.06,"-12,509,547.91",,QuickBooks Payments Fees,
,12/01/2023,Payment,,,,,,-271.85,"-12,509,819.76",,Accounts Receivable (A/R),
,12/01/2023,Expense,,UPS,THE UPS STORE 0255,,,42.26,"-12,509,777.50",,Office expenses:Shipping & postage,
,12/01/2023,Expense,,Raceway,RACEWAY 726 XXXX7264,,,43.97,"-12,509,733.53",,Vehicle Expense - Fuel,
,12/03/2023,Expense,,QuickBooks Payments,INTUIT *QBooks Online,,,97.65,"-12,509,635.88",,Computer Expense,
,12/04/2023,Expense,,UPS,THE UPS STORE 0255,,,54.83,"-12,509,581.05",,Office expenses:Shipping & postage,
,12/05/2023,Credit Card Credit,,UPS,THE UPS STORE 0255,,,-8.01,"-12,509,589.06",,Office expenses:Shipping & postage,
,12/05/2023,Expense,,Texaco,TEXACO GAS STATION,,,7.10,"-12,509,581.96",,Vehicle Expense - Fuel,
,12/05/2023,Expense,,,GABE'S DOWNTOWN (DOUGLASV,,,55.52,"-12,509,526.44",,Meals,
,12/05/2023,Expense,,RaceTrac,RACETRAC 619 XXXX6197,,,3.20,"-12,509,523.24",,Vehicle Expense - Fuel,
,12/05/2023,Expense,,,76 - A O C FOODMART 15,,,68.33,"-12,509,454.91",,Vehicle Expense - Fuel,
,12/06/2023,Expense,,Chipotle,CHIPOTLE 2216,,,8.87,"-12,509,446.04",,Meals,
,12/06/2023,Expense,,Raceway,RACEWAY 6708 XXXX7087,,,3.61,"-12,509,442.43",,Vehicle Expense - Fuel,
,12/07/2023,Expense,,,SURIN 280,,,32.29,"-12,509,410.14",,Meals,
,12/08/2023,Payment,,,,,,"-2,862.59","-12,512,272.73",,Accounts Receivable (A/R),
,12/08/2023,Deposit,,,Paid via QuickBooks Payments: Payment ID 099755,,,"-2,862.59","-12,515,135.32",,Payments to deposit,
,12/08/2023,Expense,,QuickBooks Payments,"System-recorded fee for QuickBooks Payments. Fee-name: DiscountRateFee, fee-type: Daily.",,,85.59,"-12,515,049.73",,QuickBooks Payments Fees,
,12/08/2023,Expense,,Love's Country Stores,LOVE'S #0343 OUTSIDE,,,35.37,"-12,515,014.36",,Vehicle Expense - Fuel,
,12/08/2023,Expense,,Aaron Norris / Norris Utilities,SHELL OILXXXXXXX2017,,,2.09,"-12,515,012.27",,Vehicle Expense - Fuel,
,12/08/2023,Expense,,,PATS REST AWHILE,,,169.96,"-12,514,842.31",,Travel,
,12/09/2023,Expense,,Google,GOOGLE *Google Storage,,,2.99,"-12,514,839.32",,Computer Expense,
,12/09/2023,Expense,,RaceTrac,RACETRAC436 XXXX4366,,,39.09,"-12,514,800.23",,Vehicle Expense - Fuel,
,12/09/2023,Expense,,Hampton Inn,HAMPTON INN & SUITES BAT,,,146.66,"-12,514,653.57",,Travel,
,12/09/2023,Expense,,Circle K,CIRCLE K # X3388,,,32.12,"-12,514,621.45",,Vehicle Expense - Fuel,
,12/09/2023,Expense,,Jimmy John's,JIMMY JOHNS - 2034,,,23.58,"-12,514,597.87",,Meals,
,12/09/2023,Expense,,,TST* BARLEY OAK,,,17.75,"-12,514,580.12",,Travel,
,12/11/2023,Expense,,AutoZone,AUTOZONE #4975,,,21.69,"-12,514,558.43",,Auto Repairs & Maintenance,
,12/12/2023,Expense,,Sam's Club,SAMSCLUB.COM,,,115.00,"-12,514,443.43",,Dues & Subscriptions,
,12/12/2023,Expense,,Circle K,CIRCLE K # X3817,,,37.99,"-12,514,405.44",,Vehicle Expense - Fuel,
,12/13/2023,Expense,,UPS,THE UPS STORE 0255,,,65.99,"-12,514,339.45",,Office expenses:Shipping & postage,
,12/14/2023,Payment,,,,,,-896.70,"-12,515,236.15",,Accounts Receivable (A/R),
,12/14/2023,Deposit,,,Paid via QuickBooks Payments: Payment ID 036467,,,-896.70,"-12,516,132.85",,Payments to deposit,
,12/14/2023,Expense,,QuickBooks Payments,"System-recorded fee for QuickBooks Payments. Fee-name: DiscountRateFee, fee-type: Daily.",,,26.81,"-12,516,106.04",,QuickBooks Payments Fees,
,12/14/2023,Expense,,Raceway,RACEWAY 6824 XXXX8248,,,55.64,"-12,516,050.40",,Vehicle Expense - Fuel,
,12/14/2023,Expense,,Squarespace,SQUARESPACE INC.,,,276.00,"-12,515,774.40",,Computer Expense,
,12/14/2023,Expense,,,SQ *WASABI JUAN'S BATTERY,,,13.00,"-12,515,761.40",,Meals,
,12/14/2023,Expense,,,BIRMINGHAM DISTRICT,,,52.14,"-12,515,709.26",,Travel,
,12/15/2023,Payment,,,,,,"-1,088.55","-12,516,797.81",,Accounts Receivable (A/R),
,12/15/2023,Payment,,,,,,-238.57,"-12,517,036.38",,Accounts Receivable (A/R),
,12/15/2023,Expense,,UPS,THE UPS STORE 0255,,,45.48,"-12,516,990.90",,Office expenses:Shipping & postage,
,12/19/2023,Expense,,,SQ *WASABI JUAN'S BATTERY,,,17.55,"-12,516,973.35",,Meals,
,12/19/2023,Expense,,,BIRMINGHAM DISTRICT,,,40.80,"-12,516,932.55",,Travel,
,12/20/2023,Check,1040,Morgan Wolford,CHECK PAID,,,700.00,"-12,516,232.55",,Outside Services,
,12/21/2023,Check,1041,Lisa Norris,CHECK PAID,,,"11,043.85","-12,505,188.70",,Interest paid,
,12/21/2023,Expense,,Alabama Dept of Revenue,PREAUTHORIZED WITHDRAWAL AL-DEPT OF REV DIRECT DBT 231221 XXXXXX1136,,,225.14,"-12,504,963.56",,Taxes paid,
,12/21/2023,Expense,,Alabama Dept of Revenue,PREAUTHORIZED WITHDRAWAL AL-DEPT OF REV DIRECT DBT 231221 545209920,,,245.14,"-12,504,718.42",,Taxes paid,
,12/21/2023,Expense,,,PREAUTHORIZED WITHDRAWAL AL ONESPOT TAX Alabama.go 231221 XXXXXXXX6954,,,58.20,"-12,504,660.22",,Taxes paid,
,12/21/2023,Expense,,Spectrum,Spectrum,,,104.99,"-12,504,555.23",,Utilities:Internet & TV services,
,12/22/2023,Payment,,,,,,-684.38,"-12,505,239.61",,Accounts Receivable (A/R),
,12/22/2023,Deposit,,,inv# 1075 9/12/23,-1.00,868.61,-868.61,"-12,506,108.22",,Accounts Receivable (A/R),
,12/22/2023,Payment,,,,,,-423.83,"-12,506,532.05",,Accounts Receivable (A/R),
,12/23/2023,Expense,,,SHOPIFY* XXXXX5030,,,1.00,"-12,506,531.05",,Computer Expense,
,12/26/2023,Credit Card Payment,,Chase Credit Card,PREAUTHORIZED WITHDRAWAL CHASE CREDIT CRD AUTOPAYBUS 231226,,,"-5,580.74","-12,512,111.79",,Norris Utilities Chase Ink Credit Card,
,12/26/2023,Check,1042,Laura West,CHECK PAID,,,72.00,"-12,512,039.79",,Office expenses:Office supplies,
,12/27/2023,Expense,,UPS,THE UPS STORE 0255,,,21.25,"-12,512,018.54",,Office expenses:Shipping & postage,
,12/28/2023,Payment,,,,,,-561.75,"-12,512,580.29",,Accounts Receivable (A/R),
,12/29/2023,Expense,,Raceway,RACEWAY 6824 XXXX8248,,,35.72,"-12,512,544.57",,Vehicle Expense - Fuel,
,12/29/2023,Payment,,,,,,-619.35,"-12,513,163.92",,Accounts Receivable (A/R),
,12/29/2023,Payment,,,,,,-460.83,"-12,513,624.75",,Accounts Receivable (A/R),
,12/29/2023,Payment,,,,,,-430.83,"-12,514,055.58",,Accounts Receivable (A/R),
,12/31/2023,Journal Entry,85,,,,,"6,163.00","-12,507,892.58",,Inventory Shrinkage,
,12/31/2023,Journal Entry,85,,,,,"-8,634.50","-12,516,527.08",,Cost of goods sold,
,12/31/2023,Journal Entry,86,,,,,-225.14,"-12,516,752.22",,"Alabama, Hartselle Payable",
,12/31/2023,Journal Entry,86,,,,,-58.20,"-12,516,810.42",,"Alabama, Hartselle Payable",
,12/31/2023,Journal Entry,86,,,,,-127.09,"-12,516,937.51",,"Louisiana, Caddo Parish Payable",
,12/31/2023,Journal Entry,86,,,,,-655.57,"-12,517,593.08",,Taxes paid,
,01/01/2024,Expense,,Circle K,CIRCLE K # X3817,,,60.24,"-12,517,532.84",,Vehicle Expense - Fuel,
,01/02/2024,Expense,,,BIRMINGHAM DISTRICT,1.00,14.70,14.70,"-12,517,518.14",,Travel,
,01/02/2024,Expense,,,BIRMINGHAM DISTRICT,1.00,9.70,9.70,"-12,517,508.44",,Travel,
,01/02/2024,Expense,,QuickBooks Payments,INTUIT *QBooks Online,1.00,97.65,97.65,"-12,517,410.79",,Office expenses:Software & apps,
,01/07/2024,Expense,,,MAPCO EXPRESS #7549,1.00,10.74,10.74,"-12,517,400.05",,Vehicle Expense - Fuel,
,01/09/2024,Payment,,,,,,"-1,269.00","-12,518,669.05",,Accounts Receivable (A/R),
,01/09/2024,Expense,,QuickBooks Payments,"System-recorded fee for QuickBooks Payments. Fee-name: DiscountRateFee, fee-type: Daily.",,,45.63,"-12,518,623.42",,QuickBooks Payments Fees,
,01/09/2024,Expense,,UPS,THE UPS STORE 0255,,,240.00,"-12,518,383.42",,Office expenses:Shipping & postage,
,01/09/2024,Expense,,UPS,THE UPS STORE 0255,,,69.98,"-12,518,313.44",,Office expenses:Shipping & postage,
,01/09/2024,Expense,,UPS,THE UPS STORE 0255,,,68.57,"-12,518,244.87",,Office expenses:Shipping & postage,
,01/09/2024,Expense,,Google,GOOGLE *Google Storage,1.00,2.99,2.99,"-12,518,241.88",,Computer Expense,
,01/09/2024,Credit Card Credit,,UPS,THE UPS STORE 0255,-1.00,69.98,-69.98,"-12,518,311.86",,Office expenses:Shipping & postage,
,01/10/2024,Expense,,UPS,THE UPS STORE 0255,,,95.77,"-12,518,216.09",,Office expenses:Shipping & postage,
,01/10/2024,Expense,,UPS,THE UPS STORE 0255,,,47.15,"-12,518,168.94",,Office expenses:Shipping & postage,
,01/10/2024,Check,11,Lisa Norris,CHECK PAID,,,"2,208.77","-12,515,960.17",,Interest paid,
,01/10/2024,Deposit,,,Paid via QuickBooks Payments: Payment ID 006204,,,"-1,269.00","-12,517,229.17",,Payments to deposit,
,01/10/2024,Deposit,,,,,,-219.65,"-12,517,448.82",,Payments to deposit,
,01/11/2024,Payment,,,,,,-219.65,"-12,517,668.47",,Accounts Receivable (A/R),
,01/11/2024,Payment,,,,,,"-2,123.68","-12,519,792.15",,Accounts Receivable (A/R),
,01/11/2024,Expense,,QuickBooks Payments,"System-recorded fee for QuickBooks Payments. Fee-name: DiscountRateFee, fee-type: Daily.",,,63.50,"-12,519,728.65",,QuickBooks Payments Fees,
,01/11/2024,Expense,,,GHOST TRAIN BREWING CO,1.00,12.71,12.71,"-12,519,715.94",,Meals,
,01/12/2024,Deposit,,,Paid via QuickBooks Payments: Payment ID 964728,,,"-2,123.68","-12,521,839.62",,Payments to deposit,
,01/15/2024,Expense,,Circle K,CIRCLE K # X3817,1.00,65.16,65.16,"-12,521,774.46",,Vehicle Expense - Fuel,
,01/18/2024,Check,1043,Boss Products,CHECK PAID,,,"7,052.40","-12,514,722.06",,Cost of goods sold,
,01/19/2024,Payment,Invoice 1084,,,,,"-1,245.85","-12,515,967.91",,Accounts Receivable (A/R),
,01/19/2024,Expense,,QuickBooks Payments,"System-recorded fee for QuickBooks Payments. Fee-name: DiscountRateFee, fee-type: Daily.",,,43.60,"-12,515,924.31",,QuickBooks Payments Fees,
,01/19/2024,Check,1044,Steel City Creative,CHECK PAID,,,996.00,"-12,514,928.31",,Advertising & marketing,
,01/19/2024,Payment,,,,,,-280.79,"-12,515,209.10",,Accounts Receivable (A/R),
,01/20/2024,Expense,,,WILLIAMSBURG LGD AUTOG,1.00,271.92,271.92,"-12,514,937.18",,Travel,
,01/21/2024,Expense,,Spectrum,Spectrum,,,104.99,"-12,514,832.19",,Utilities:Internet & TV services,
,01/21/2024,Expense,,,WILLIAMSBURG LGD AUTOG,1.00,271.92,271.92,"-12,514,560.27",,Travel,
,01/22/2024,Expense,,Mississippi Dept of Revenue,PREAUTHORIZED WITHDRAWAL MSDEPTOFREVENUE TAXPAYMENT 240122 M643144320,,,137.35,"-12,514,422.92",,Taxes paid,
,01/22/2024,Expense,,,PREAUTHORIZED WITHDRAWAL CADSHRSALEUSETAX SALES TAX 240122,,,111.15,"-12,514,311.77",,Taxes paid,
,01/22/2024,Expense,,Mississippi Dept of Revenue,PREAUTHORIZED WITHDRAWAL MSDEPTOFREVENUE TAXPAYMENT 240122 M804559488,,,177.83,"-12,514,133.94",,Taxes paid,
,01/22/2024,Expense,,Alabama Dept of Revenue,PREAUTHORIZED WITHDRAWAL AL-DEPT OF REV DIRECT DBT 240122 425787712,,,30.59,"-12,514,103.35",,Taxes paid,
,01/22/2024,Deposit,,,,,,"-1,245.85","-12,515,349.20",,Payments to deposit,
,01/22/2024,Expense,,Aaron Norris / Norris Utilities,SHELL OIL XXXXXXX2012,1.00,44.44,44.44,"-12,515,304.76",,Vehicle Expense - Fuel,
,01/22/2024,Expense,,,SHOPIFY* XXXXX5038,1.00,348.00,348.00,"-12,514,956.76",,Computer Expense,
,01/23/2024,Payment,,,,,,-696.80,"-12,515,653.56",,Accounts Receivable (A/R),
,01/23/2024,Expense,,QuickBooks Payments,"System-recorded fee for QuickBooks Payments. Fee-name: DiscountRateFee, fee-type: Daily.",,,20.83,"-12,515,632.73",,QuickBooks Payments Fees,
,01/23/2024,Expense,,,TST* BILLYS SPORTS GRILL,1.00,9.60,9.60,"-12,515,623.13",,Meals,
,01/24/2024,Deposit,,,Paid via QuickBooks Payments: Payment ID 070459,,,-696.80,"-12,516,319.93",,Payments to deposit,
,01/24/2024,Expense,,,BIRMINGHAM DISTRICT,1.00,28.88,28.88,"-12,516,291.05",,Travel,
,01/25/2024,Expense,,,TST* MONDAY NIGHT BREWERY,1.00,9.66,9.66,"-12,516,281.39",,Meals,
,01/25/2024,Expense,,,TST* MONDAY NIGHT BREWERY,1.00,9.66,9.66,"-12,516,271.73",,Meals,
,01/25/2024,Expense,,Circle K,CIRCLE K # X3817,1.00,20.00,20.00,"-12,516,251.73",,Vehicle Expense - Fuel,
,01/26/2024,Credit Card Payment,,Chase Credit Card,PREAUTHORIZED WITHDRAWAL CHASE CREDIT CRD AUTOPAYBUS 240126,,,"-1,739.48","-12,517,991.21",,Norris Utilities Chase Ink Credit Card,
,01/26/2024,Expense,,Circle K,CIRCLE K # X3817,1.00,57.70,57.70,"-12,517,933.51",,Vehicle Expense - Fuel,
,01/29/2024,Expense,,UPS,THE UPS STORE 0255,,,18.93,"-12,517,914.58",,Office expenses:Shipping & postage,
,01/29/2024,Check,1045,The Majors Law Firm,CHECK PAID,,,"1,650.00","-12,516,264.58",,Legal & accounting services:Legal fees,
,02/03/2024,Expense,,QuickBooks Payments,INTUIT *QBooks Online,1.00,97.65,97.65,"-12,516,166.93",,Office expenses:Software & apps,
,02/04/2024,Expense,,Raceway,RACEWAY 6824 XXXX8248,1.00,43.11,43.11,"-12,516,123.82",,Vehicle Expense - Fuel,
,02/05/2024,Expense,,UPS,THE UPS STORE 0255,,,41.83,"-12,516,081.99",,Office expenses:Shipping & postage,
,02/06/2024,Expense,,UPS,THE UPS STORE 0255,,,124.81,"-12,515,957.18",,Office expenses:Shipping & postage,
,02/06/2024,Check,12,Lisa Norris,CHECK PAID,,,"2,208.77","-12,513,748.41",,Interest paid,
,02/08/2024,Expense,,UPS,THE UPS STORE 0255,,,32.47,"-12,513,715.94",,Office expenses:Shipping & postage,
,02/08/2024,Payment,,,,,,-829.91,"-12,514,545.85",,Accounts Receivable (A/R),
,02/08/2024,Expense,,Circle K,CIRCLE K # X3388,1.00,35.90,35.90,"-12,514,509.95",,Vehicle Expense - Fuel,
,02/09/2024,Expense,,Google,GOOGLE *Google Storage,1.00,2.99,2.99,"-12,514,506.96",,Computer Expense,
,02/10/2024,Expense,,RaceTrac,RACETRAC380 XXXX3806,1.00,35.60,35.60,"-12,514,471.36",,Vehicle Expense - Fuel,
,02/10/2024,Expense,,Taco Bell,TACO CASA #6,1.00,24.79,24.79,"-12,514,446.57",,Meals,
,02/10/2024,Expense,,Circle K,CIRCLE K # X3802,1.00,46.58,46.58,"-12,514,399.99",,Vehicle Expense - Fuel,
,02/11/2024,Expense,,,MCALISTER'S 1235,1.00,29.60,29.60,"-12,514,370.39",,Meals,
,02/12/2024,Expense,,UPS,THE UPS STORE 0255,,,84.86,"-12,514,285.53",,Office expenses:Shipping & postage,
,02/13/2024,Expense,,Raceway,RACEWAY 6708 XXXX7087,1.00,58.09,58.09,"-12,514,227.44",,Vehicle Expense - Fuel,
,02/13/2024,Expense,,Circle K,CIRCLE K # X3387,1.00,55.01,55.01,"-12,514,172.43",,Vehicle Expense - Fuel,
,02/13/2024,Expense,,,CASA JALISCO MEXICAN R,1.00,23.75,23.75,"-12,514,148.68",,Meals,
,02/13/2024,Expense,,,GOLDEN EAGLE 2,1.00,6.29,6.29,"-12,514,142.39",,Vehicle Expense - Fuel,
,02/14/2024,Expense,,,DANDY DAN'S 513,1.00,2.45,2.45,"-12,514,139.94",,Vehicle Expense - Fuel,
,02/14/2024,Expense,,Chevron,CHEVRON XXX7759,1.00,11.83,11.83,"-12,514,128.11",,Vehicle Expense - Fuel,
,02/15/2024,Expense,,Homewood Suites,HOME 2 SUITES,1.00,235.40,235.40,"-12,513,892.71",,Travel,
,02/15/2024,Expense,,Love's Country Stores,LOVE'S #0773 OUTSIDE,1.00,65.32,65.32,"-12,513,827.39",,Vehicle Expense - Fuel,
,02/15/2024,Expense,,Love's Country Stores,LOVE'S #0773 INSIDE,1.00,4.39,4.39,"-12,513,823.00",,Vehicle Expense - Fuel,
,02/15/2024,Expense,,,PABLO'S RESTAURANTE,1.00,66.10,66.10,"-12,513,756.90",,Meals,
,02/15/2024,Expense,,,TST* WALK-ON'S - HATTIESB,1.00,37.27,37.27,"-12,513,719.63",,Meals,
,02/16/2024,Expense,,Squarespace,SQUARESPACE INC.,1.00,39.60,39.60,"-12,513,680.03",,Office expenses:Software & apps,
,02/19/2024,Payment,,,,,,"-2,000.00","-12,515,680.03",,Accounts Receivable (A/R),
,02/19/2024,Expense,,QuickBooks Payments,"System-recorded fee for QuickBooks Payments. Fee-name: DiscountRateFee, fee-type: Daily.",,,70.00,"-12,515,610.03",,QuickBooks Payments Fees,
,02/19/2024,Expense,,,MAPCO EXPRESS #7549,1.00,3.43,3.43,"-12,515,606.60",,Vehicle Expense - Fuel,
,02/20/2024,Deposit,,,,,,"-2,000.00","-12,517,606.60",,Payments to deposit,
,02/20/2024,Expense,,,UA.COM*XXX-XXX-6687 MD,1.00,31.88,31.88,"-12,517,574.72",,Laundry & Uniforms,
,02/20/2024,Expense,,,THE GRAND MARLIN OF PA,1.00,138.62,138.62,"-12,517,436.10",,Meals,
,02/20/2024,Expense,,,MAPCO EXPRESS #7549,1.00,14.14,14.14,"-12,517,421.96",,Vehicle Expense - Fuel,
,02/21/2024,Expense,,UPS,THE UPS STORE 0255,,,187.99,"-12,517,233.97",,Office expenses:Shipping & postage,
,02/21/2024,Expense,,Spectrum,Spectrum,,,104.99,"-12,517,128.98",,Utilities:Internet & TV services,
,02/21/2024,Expense,,Alabama Dept of Revenue,PREAUTHORIZED WITHDRAWAL AL-DEPT OF REV DIRECT DBT 240221 XXXXXX0144,,,117.15,"-12,517,011.83",,Taxes paid,
,02/21/2024,Expense,,Alabama Dept of Revenue,PREAUTHORIZED WITHDRAWAL AL-DEPT OF REV DIRECT DBT 240221 XXXXXX2112,,,7.27,"-12,517,004.56",,Taxes paid,
,02/21/2024,Expense,,Mississippi Dept of Revenue,PREAUTHORIZED WITHDRAWAL MSDEPTOFREVENUE TAXPAYMENT 240221 M992230016,,,153.64,"-12,516,850.92",,Taxes paid,
,02/21/2024,Expense,,,PREAUTHORIZED WITHDRAWAL AL ONESPOT TAX Alabama.go 240221 XXXXXXXX2346,,,1.62,"-12,516,849.30",,Taxes paid,
,02/21/2024,Expense,,,PREAUTHORIZED WITHDRAWAL RPPJ SALES TAX SALES TAX 240221,,,9.53,"-12,516,839.77",,Taxes paid,
,02/21/2024,Expense,,Love's Country Stores,LOVE'S #0343 OUTSIDE,1.00,64.26,64.26,"-12,516,775.51",,Vehicle Expense - Fuel,
,02/21/2024,Expense,,,PAPITOS GRILL,1.00,21.81,21.81,"-12,516,753.70",,Meals,
,02/22/2024,Expense,,Aaron Norris / Norris Utilities,SHELL OIL XXXXXXX0000,1.00,3.73,3.73,"-12,516,749.97",,Vehicle Expense - Fuel,
,02/22/2024,Expense,,Hampton Inn,HAMPTON INNS,1.00,119.84,119.84,"-12,516,630.13",,Travel,
,02/22/2024,Expense,,Circle K,CIRCLE K # X3823,1.00,60.63,60.63,"-12,516,569.50",,Vehicle Expense - Fuel,
,02/23/2024,Deposit,,,inv# 1075 10/1/23,-1.00,953.61,-953.61,"-12,517,523.11",,Accounts Receivable (A/R),
,02/23/2024,Payment,,,,,,-436.75,"-12,517,959.86",,Accounts Receivable (A/R),
,02/23/2024,Payment,,,,,,-462.58,"-12,518,422.44",,Accounts Receivable (A/R),
,02/23/2024,Expense,,,ON TAP SPORTS CAFE INV,1.00,7.50,7.50,"-12,518,414.94",,Meals,
,02/23/2024,Expense,,,ON TAP SPORTS CAFE INV,1.00,6.50,6.50,"-12,518,408.44",,Meals,
,02/23/2024,Expense,,,INTEGRITY HAIR & SCALP CA,-1.00,35.00,-35.00,"-12,518,443.44",,Owner draws,
,02/23/2024,Expense,,,SP BUMPERONLY.COM,1.00,956.99,956.99,"-12,517,486.45",,Office expenses:Office supplies,
,02/26/2024,Payment,,,,,,"-3,988.96","-12,521,475.41",,Accounts Receivable (A/R),
,02/26/2024,Expense,,QuickBooks Payments,"System-recorded fee for QuickBooks Payments. Fee-name: DiscountRateFee, fee-type: Daily.",,,119.27,"-12,521,356.14",,QuickBooks Payments Fees,
,02/26/2024,Expense,,UPS,THE UPS STORE 0255,,,29.41,"-12,521,326.73",,Office expenses:Shipping & postage,
,02/26/2024,Expense,,UPS,THE UPS STORE 0255,,,90.95,"-12,521,235.78",,Office expenses:Shipping & postage,
,02/26/2024,Expense,,,PREAUTHORIZED WITHDRAWAL CHASE CREDIT CRD AUTOPAYBUS 240226,,,"-1,930.82","-12,523,166.60",,Norris Utilities Chase Ink Credit Card,
,02/26/2024,Expense,,,MAPCO EXPRESS #7549,1.00,12.46,12.46,"-12,523,154.14",,Vehicle Expense - Fuel,
,02/26/2024,Expense,,BP,BP#XXX6100PELHAM BP,1.00,3.87,3.87,"-12,523,150.27",,Vehicle Expense - Fuel,
,02/26/2024,Expense,,,UPTOWN CANTINA,1.00,114.10,114.10,"-12,523,036.17",,Meals,
,02/27/2024,Deposit,,,Paid via QuickBooks Payments: Payment ID 064930,,,"-3,988.96","-12,527,025.13",,Payments to deposit,
,02/27/2024,Expense,,BP,BP#XXX4200BIZEE MART 104,1.00,64.56,64.56,"-12,526,960.57",,Vehicle Expense - Fuel,
,02/27/2024,Expense,,,LEGENDS CORNER,1.00,21.00,21.00,"-12,526,939.57",,Meals,
,02/27/2024,Expense,,,LEGENDS CORNER,1.00,39.00,39.00,"-12,526,900.57",,Meals,
,02/27/2024,Expense,,Wal-Mart,WAL-MART #4483,1.00,4.42,4.42,"-12,526,896.15",,Office expenses:Office supplies,
,02/28/2024,Check,1046,Boss Products,CHECK PAID,,,"9,497.39","-12,517,398.76",,Cost of goods sold,
,02/28/2024,Expense,,Circle K,CIRCLE K # X3908,1.00,65.10,65.10,"-12,517,333.66",,Vehicle Expense - Fuel,
,02/28/2024,Expense,,Hampton Inn,HAMPTON INNS,1.00,246.20,246.20,"-12,517,087.46",,Travel,
,02/28/2024,Expense,,,KUMO SUSHI & ASIAN,1.00,36.64,36.64,"-12,517,050.82",,Meals,
,03/01/2024,Payment,,,,,,-452.58,"-12,517,503.40",,Accounts Receivable (A/R),
,03/01/2024,Payment,,,,,,-222.42,"-12,517,725.82",,Accounts Receivable (A/R),
,03/02/2024,Expense,,QuickBooks Payments,INTUIT *QBooks Online,1.00,97.65,97.65,"-12,517,628.17",,Computer Expense,
,03/03/2024,Expense,,Texaco,TEXACO XXX7753,1.00,9.57,9.57,"-12,517,618.60",,Vehicle Expense - Fuel,
,03/04/2024,Expense,,UPS,THE UPS STORE 0255,,,33.29,"-12,517,585.31",,Office expenses:Shipping & postage,
,03/04/2024,Expense,,Circle K,CIRCLE K X6732,1.00,61.21,61.21,"-12,517,524.10",,Vehicle Expense - Fuel,
,03/04/2024,Expense,,Circle K,CIRCLE K # X6626,1.00,72.70,72.70,"-12,517,451.40",,Vehicle Expense - Fuel,
,03/04/2024,Expense,,,TST* LA CARRETA - COVINGT,1.00,31.30,31.30,"-12,517,420.10",,Meals,
,03/05/2024,Expense,,,COURT STREET CAFE,1.00,38.75,38.75,"-12,517,381.35",,Meals,
,03/05/2024,Expense,,Circle K,CIRCLE K # X9733,1.00,15.59,15.59,"-12,517,365.76",,Vehicle Expense - Fuel,
,03/05/2024,Expense,,,AZTECAS BATON ROUGE,1.00,42.41,42.41,"-12,517,323.35",,Meals,
,03/06/2024,Payment,,,,,,"-1,499.20","-12,518,822.55",,Accounts Receivable (A/R),
,03/06/2024,Payment,,,,,,-935.40,"-12,519,757.95",,Accounts Receivable (A/R),
,03/06/2024,Payment,,,,,,-946.66,"-12,520,704.61",,Accounts Receivable (A/R),
,03/06/2024,Deposit,,,Paid via QuickBooks Payments: Payment ID 045492,,,"-1,499.20","-12,522,203.81",,Payments to deposit,
,03/06/2024,Deposit,,,Paid via QuickBooks Payments: Payment ID 092431,,,-935.40,"-12,523,139.21",,Payments to deposit,
,03/06/2024,Deposit,,,Paid via QuickBooks Payments: Payment ID 138676,,,-946.66,"-12,524,085.87",,Payments to deposit,
,03/06/2024,Expense,,QuickBooks Payments,"System-recorded fee for QuickBooks Payments. Fee-name: DiscountRateFee, fee-type: Daily.",,,101.11,"-12,523,984.76",,QuickBooks Payments Fees,
,03/06/2024,Expense,,,UNDER ARMOUR GON,1.00,67.25,67.25,"-12,523,917.51",,Laundry & Uniforms,
,03/06/2024,Expense,,Hilton,618 HILTON BATON ROUGE,1.00,533.79,533.79,"-12,523,383.72",,Travel,
,03/06/2024,Expense,,,TST* THE CHIMES - HIGHLAN,1.00,49.58,49.58,"-12,523,334.14",,Meals,
,03/07/2024,Expense,,,CHICK-FIL-A #X3254,1.00,,10.50,"-12,523,323.64",,Meals,
,03/07/2024,Expense,,,"TST* WALK-ON'S - BRUSLY,",1.00,128.91,128.91,"-12,523,194.73",,Meals,
,03/07/2024,Expense,,Aaron Norris / Norris Utilities,SHELL OILXXXXXXX3014,1.00,20.00,20.00,"-12,523,174.73",,Vehicle Expense - Fuel,
